id,chrom,branch,bias,tissue_number,testis_value,ovary_value,adj_pvalue
CG34231,chr2R,0,female,5,2,3.66,2.41E-13
CG34242,chr3L,0,NA,NA,NA,NA,NA
CG34240,chr3L,0,NA,NA,NA,NA,NA
CG3424,chr3L,0,female,12,6.67,9.71,2.91E-20
CG34239,chr3L,0,NA,NA,NA,NA,NA
CG34238,chr3L,0,NA,NA,NA,NA,NA
CG34237,chr3L,0,male,2,10.73,2.64,2.34E-27
CG34236,chr2R,0,unbiased,5,1.79,2.4,0.056464788
CG34233,chr2R,0,unbiased,0,2.09,2.63,0.002428287
CG34232,chr2R,0,unbiased,4,2.06,2.74,0.054928354
CG3422,chrX,0,female,12,8.16,11.23,6.74E-27
CG34324,chrX,0,unbiased,3,1.73,2.42,0.524992654
CG34310,chr2L,0,NA,NA,NA,NA,NA
CG3431,chr3L,0,male,12,10.11,8.93,1.42E-07
CG34309,chr3R,0,unbiased,1,1.31,1.53,0.244326722
CG34308,chr3R,0,NA,NA,NA,NA,NA
CG34307,chr3R,0,NA,NA,NA,NA,NA
CG34306,chr3R,0,NA,NA,NA,NA,NA
CG34305,chr3R,0,NA,NA,NA,NA,NA
CG34304,chr3R,0,unbiased,0,1.7,2.11,0.001633679
CG34303,chr3R,0,NA,NA,NA,NA,NA
CG34312,chr2R,0,NA,NA,NA,NA,NA
CG34313,chr2L,0,NA,NA,NA,NA,NA
CG34322,chrX,0,unbiased,0,2.06,2.61,0.001660388
CG34321,chrX,0,unbiased,0,1.66,2.18,0.00020044
CG34320,chrX,0,unbiased,0,1.62,2.67,0.000104405
CG34319,chrX,0,unbiased,1,3.45,3.74,0.284707154
CG34318,chr2R,0,NA,NA,NA,NA,NA
CG34317,chr3R,0,NA,NA,NA,NA,NA
CG34316,chr3R,0,male,3,3.01,1.82,5.62E-07
CG34315,chr2R,0,NA,NA,NA,NA,NA
CG34314,chr2L,0,NA,NA,NA,NA,NA
CG34302,chr3R,0,male,1,5.05,2.39,5.04E-18
CG34301,chr3R,0,male,7,3.38,1.83,1.39E-06
CG34300,chr3R,0,male,1,8.96,2.01,6.30E-20
CG34288,chr3R,0,unbiased,3,2.22,2.4,0.466944552
CG34287,chr3R,0,NA,NA,NA,NA,NA
CG34286,chr3R,0,male,1,8.46,1.79,1.71E-26
CG34284,chr3R,0,unbiased,3,1.82,2.15,0.174626099
CG34282,chr3R,0,unbiased,0,2.04,2.21,0.408672295
CG34281,chr3R,0,unbiased,0,2.81,1.99,0.001518679
CG3428,chr3L,0,female,12,6.39,7.79,5.34E-13
CG34279,chr3R,0,male,2,7.68,1.95,7.68E-22
CG34277,chr3R,0,NA,NA,NA,NA,NA
CG34289,chr3R,0,male,1,8.94,2.3,1.57E-20
CG3429,chrX,0,female,3,2.43,11.07,1.56E-35
CG3430,chr2L,0,female,7,3.96,8.61,6.40E-22
CG34298,chr3R,0,NA,NA,NA,NA,NA
CG34297,chr3R,0,unbiased,0,1.45,1.62,0.196750452
CG34296,chr3R,0,unbiased,2,2.05,1.89,0.697967966
CG34294,chr3R,0,NA,NA,NA,NA,NA
CG34293,chr3R,0,NA,NA,NA,NA,NA
CG34292,chr3R,0,male,2,10.42,2.31,6.36E-19
CG34291,chr3R,0,NA,NA,NA,NA,NA
CG34290,chr3R,0,unbiased,2,1.6,1.86,0.071915955
CG34275,chr3R,0,NA,NA,NA,NA,NA
CG8485,chr2R,0,female,12,7.35,8.62,1.38E-07
CG8462,chr2R,0,unbiased,5,2.27,2.43,0.606360137
CG8461,chr3R,0,female,12,5.98,7.35,1.11E-08
CG8460,chr2L,0,female,12,5.52,7.53,4.14E-16
CG8458,chr3R,0,unbiased,0,1.78,2.38,0.00017984
CG8457,chr2R,0,unbiased,1,1.77,2.18,0.030015548
CG8455,chr2L,0,male,12,9.69,8.52,5.40E-08
CG8454,chr3R,0,female,12,5.64,7.4,4.47E-14
CG8453,chr2R,0,unbiased,7,1.97,2.17,0.506025598
CG8451,chr2L,0,unbiased,12,9.02,8.94,0.561374995
CG8449,chr3R,0,female,12,4.64,7.56,2.93E-21
CG8464,chr3R,0,male,12,9.58,5.25,1.25E-16
CG8465,chrX,0,female,12,5.05,9.79,7.61E-26
CG8484,chr3R,0,male,2,8.22,2.4,1.20E-23
CG8483,chr3R,0,unbiased,4,1.85,1.99,0.445743091
CG8481,chr3R,0,female,12,7.15,8.98,2.92E-23
CG8479,chr2R,0,female,12,8.2,10.13,3.70E-26
CG8478,chr3R,0,male,3,9.27,8.07,0.002097815
CG8476,chr3R,0,male,3,11.44,2.12,1.01E-20
CG8475,chr2L,0,female,12,6.62,8.27,5.85E-15
CG8472,chr2R,0,female,12,11.32,11.79,5.51E-07
CG8470,chrX,0,female,12,6.76,9.51,2.91E-24
CG8468,chr2R,0,unbiased,8,1.82,2.2,0.067859741
CG8448,chr2R,0,female,12,7.9,10.18,1.05E-20
CG8446,chr2R,0,male,12,8.96,8.46,0.00304959
CG8445,chr2R,0,female,6,4.53,6.38,5.02E-11
CG8428,chr2R,0,female,12,8.14,10.03,2.40E-18
CG8427,chr2R,0,female,12,9.23,10.93,1.10E-16
CG8426,chr2R,0,female,12,7.15,9.06,1.12E-19
CG8425,chr2R,0,male,2,2.86,2.27,0.008631358
CG8424,chr2R,0,unbiased,3,1.64,1.94,0.201098931
CG8422,chr2R,0,unbiased,1,1.81,1.82,0.95384415
CG8421,chr2R,0,male,10,3.54,3.09,0.000638835
CG8420,chr3R,0,male,4,8.98,6.76,8.36E-08
CG8419,chr2L,0,male,2,2.89,2.2,3.20E-05
CG8418,chr2R,0,female,12,5.62,9.07,5.71E-22
CG8430,chr2R,0,male,12,11.58,9.89,2.52E-19
CG8431,chr2R,0,female,12,6.44,8.49,1.32E-18
CG8444,chr3R,0,female,12,10.02,10.66,1.15E-07
CG8443,chr2R,0,female,12,5.67,10.06,6.65E-28
CG8442,chr3L,0,unbiased,2,2.21,1.96,0.188360425
CG8441,chr2R,0,female,6,5.1,6.9,3.96E-12
CG8440,chr2R,0,female,11,2.55,3.79,3.74E-07
CG8439,chr2R,0,female,12,9.31,12.12,5.80E-27
CG8435,chr2R,0,female,10,6.28,7.81,1.61E-10
CG8434,chr2R,0,female,12,6.66,7.08,0.019566777
CG8433,chr2R,0,NA,NA,NA,NA,NA
CG8432,chr2R,0,female,10,2.55,6.87,5.24E-23
CG8417,chr3R,0,male,12,10.39,8.22,2.43E-23
CG8486,chr2L,0,female,10,2.62,6.24,4.16E-20
CG8552,chr2L,0,male,12,9.2,8.39,3.01E-10
CG8538,chr3R,0,male,10,7.62,5.07,1.07E-10
CG8536,chr2R,0,female,11,4.82,7.86,3.67E-20
CG8533,chr3L,0,unbiased,2,3.5,4.33,0.015276535
CG8532,chr3L,0,female,12,5.73,7.04,7.53E-11
CG8531,chr2R,0,male,12,11.4,9.55,6.72E-19
CG8529,chr2R,0,female,11,2,5.83,5.67E-23
CG8527,chrX,0,unbiased,0,1.88,2.19,0.109019327
CG8526,chr3R,0,female,10,2.25,5.51,7.06E-13
CG8525,chr2R,0,male,12,10.64,6.72,1.71E-21
CG8524,chr3R,0,male,5,6.37,3.12,9.06E-16
CG8539,chr3L,0,female,6,1.9,2.55,0.001250939
CG8540,chr3L,0,unbiased,1,1.82,1.56,0.071878281
CG8550,chr2R,0,unbiased,2,2.48,2.03,0.043706227
CG8549,chr3L,0,male,12,9.39,7.99,7.22E-14
CG8548,chr3L,0,male,12,10.8,10.42,0.018314688
CG8547,chr2R,0,male,12,6.18,4.49,2.04E-14
CG8546,chr3L,0,unbiased,0,1.61,2.06,0.002563282
CG8545,chr2R,0,female,12,5.02,10.36,6.93E-31
CG8544,chrX,0,male,11,6.56,6.01,0.001066669
CG8543,chr3L,0,unbiased,0,3.62,4.22,0.015071802
CG8542,chr2R,0,female,12,10.81,11.36,2.27E-07
CG8541,chr3L,0,unbiased,0,2.17,2.76,7.37E-05
CG8523,chr2R,0,unbiased,2,1.65,1.68,0.911865891
CG8522,chr3L,0,female,12,6.07,8.09,7.27E-16
CG8520,chr2R,0,male,12,10.2,9.25,8.66E-06
CG8500,chr3R,0,female,7,1.08,3.22,3.12E-11
CG8498,chr2L,0,female,12,7.84,9.34,1.04E-17
CG8497,chrX,0,female,11,2.2,3.26,0.000387099
CG8495,chr3R,0,female,12,11.7,13.11,8.11E-24
CG8494,chr2R,0,male,12,9.06,7.76,7.44E-05
CG8493,chr2R,0,male,12,9.76,8.18,4.97E-12
CG8492,chr3L,0,unbiased,1,1.57,1.54,0.893220343
CG8491,chr3L,0,male,11,7.82,5.81,1.49E-16
CG8490,chr2R,0,female,6,4.34,7.74,1.17E-22
CG8489,chr3R,0,male,3,7.44,2.17,2.64E-21
CG8502,chr2R,0,unbiased,2,2.17,1.72,0.160849601
CG8503,chr2R,0,female,8,2.55,8,3.07E-27
CG8519,chr3L,0,male,5,5.78,2.04,2.44E-17
CG8517,chr2R,0,male,4,13.57,2.42,1.93E-25
CG8516,chr3R,0,female,9,3.2,6.56,5.18E-19
CG8515,chr2R,0,unbiased,0,1.61,2.14,0.00218934
CG8511,chr2R,0,unbiased,2,1.76,2.31,0.011808365
CG8510,chr2R,0,unbiased,1,1.75,2.17,0.005570495
CG8509,chrX,0,male,3,8.48,2.11,2.01E-24
CG8507,chr3R,0,female,12,8.08,11.37,7.50E-28
CG8506,chr2L,0,female,12,7.69,8.13,0.007362866
CG8505,chr2R,0,unbiased,4,1.48,1.83,0.124553397
CG8487,chr2R,0,male,12,7.67,4.35,7.16E-27
CG8349,chr2L,0,male,2,11.09,1.79,3.09E-21
CG8334,chr3L,0,female,11,6.87,7.64,0.011005474
CG8333,chr3R,0,unbiased,0,1.79,2.02,0.334937087
CG8332,chr2R,0,female,12,11.28,13.53,2.88E-30
CG8331,chr2R,0,female,12,10.13,11.35,9.79E-20
CG8329,chr3L,0,unbiased,2,1.65,2.05,0.001635501
CG8328,chr3R,0,unbiased,0,1.31,1.78,0.003143814
CG8327,chr3R,0,female,10,2.06,7.14,4.80E-24
CG8326,chrX,0,female,9,2.84,6.99,1.04E-26
CG8325,chr2R,0,female,12,6.84,8.46,3.22E-14
CG8323,chr2R,0,unbiased,9,5.82,5.58,0.280585814
CG8335,chr2R,0,male,3,8.94,2.02,1.90E-23
CG8336,chr3L,0,male,12,9.48,8.04,1.95E-09
CG8348,chr3R,0,male,5,5.79,2.07,2.66E-20
CG8346,chr3R,0,female,5,1.86,4.85,1.23E-15
CG8345,chr2R,0,unbiased,7,2.69,2.26,0.101472924
CG8344,chr2R,0,female,12,3.95,6.92,2.22E-18
CG8343,chr2R,0,unbiased,2,1.61,2.25,1.89E-05
CG8342,chr3R,0,unbiased,2,1.73,2.16,0.136566165
CG8340,chr2R,0,female,12,9.13,10.36,1.12E-15
CG8339,chr3L,0,female,6,2.97,4.05,5.14E-08
CG8338,chr2R,0,female,12,8.13,9.6,1.23E-13
CG8337,chr3R,0,unbiased,2,1.8,2.46,0.000953922
CG8322,chr2R,0,unbiased,0,1.7,2.39,1.43E-05
CG8321,chr2R,0,female,12,4.13,9.68,4.97E-33
CG8320,chr2R,0,female,11,3.53,6,1.53E-11
CG8300,chrX,0,female,11,3.93,5.31,1.19E-09
CG8298,chr2R,0,male,10,9.46,8.52,0.001494605
CG8297,chr2R,0,unbiased,12,6.38,6.66,0.316213438
CG8295,chr2R,0,male,12,11.85,10.55,6.46E-14
CG8293,chr2R,0,male,12,9.73,8.56,2.53E-13
CG8292,chr2L,0,male,2,10.57,1.98,1.10E-18
CG8291,chr2R,0,male,8,7.49,5.43,5.67E-11
CG8290,chr2R,0,female,11,2.77,5.4,8.90E-27
CG8288,chrX,0,female,12,4.48,8.21,1.09E-18
CG8287,chr3L,0,female,12,5.67,7.57,1.03E-14
CG8301,chr3R,0,female,6,1.68,7.5,1.41E-28
CG8302,chr2R,0,unbiased,2,2,2.69,0.000891877
CG8318,chr3R,0,unbiased,9,3.79,4.09,0.100151163
CG8317,chr2R,0,male,9,3.92,2.71,0.001219377
CG8315,chr2R,0,female,12,3.05,8.89,4.74E-28
CG8314,chr2R,0,female,12,5.04,7.14,1.11E-11
CG8312,chr3R,0,male,11,9.14,8.12,1.20E-06
CG8311,chr2R,0,female,12,4.84,8.09,8.39E-23
CG8310,chrX,0,male,6,3.57,1.73,1.69E-09
CG8309,chr2R,0,female,12,9.24,10.91,1.07E-23
CG8308,chr3L,0,female,3,2.23,12.3,2.48E-38
CG8303,chr2R,0,female,6,2.48,7.56,1.47E-20
CG8286,chr3R,0,female,12,8.4,9.09,2.46E-05
CG8351,chr3R,0,female,12,9.32,11.86,1.67E-25
CG8416,chr2R,0,female,12,9.05,9.49,4.39E-05
CG8400,chr2R,0,unbiased,12,9.76,9.76,0.988905109
CG8399,chr2R,0,female,5,2.95,7.09,1.79E-18
CG8398,chr3L,0,male,9,9.24,2.94,4.93E-24
CG8397,chr2R,0,male,12,10.45,9.28,1.88E-18
CG8396,chr2L,0,female,12,9.02,10.68,3.49E-15
CG8395,chr2R,0,female,10,3.45,6.58,4.39E-18
CG8394,chr2R,0,unbiased,2,1.67,1.83,0.372396879
CG8392,chr2R,0,unbiased,12,11.76,11.88,0.19192947
CG8390,chr2R,0,unbiased,12,10.72,10.96,0.054524133
CG8389,chr2R,0,female,11,6.48,7.23,0.01584015
CG8401,chr2R,0,unbiased,2,1.74,1.54,0.21216206
CG8402,chr3R,0,female,12,7.27,9.86,5.67E-24
CG8415,chr2R,0,female,12,12,13.67,4.65E-25
CG8414,chr2R,0,female,11,4.35,9.12,2.02E-23
CG8412,chr3R,0,female,12,4.54,6.12,9.65E-12
CG8411,chr2R,0,female,12,3.64,11.18,4.18E-37
CG8409,chr2L,0,female,12,9.02,11.1,2.04E-25
CG8408,chrX,0,female,12,7.9,10.04,2.01E-17
CG8407,chr2R,0,male,1,9.58,1.83,2.14E-23
CG8405,chr2R,0,male,8,5.97,5.42,0.008765885
CG8404,chr2R,0,unbiased,1,1.75,1.83,0.465603832
CG8403,chr2R,0,unbiased,2,2.08,2.1,0.938283868
CG8388,chr2R,0,male,9,8.94,6.89,2.42E-10
CG8386,chr2R,0,female,12,5.34,7.97,1.70E-20
CG8385,chr3L,0,female,12,9.68,11.51,1.87E-23
CG8366,chr2R,0,female,9,5.3,5.82,0.000429289
CG8365,chr3R,0,unbiased,0,1.97,1.94,0.783173684
CG8364,chr2R,0,male,4,7.03,1.81,9.57E-29
CG8363,chr3L,0,female,9,2.32,6.34,1.86E-23
CG8362,chr3R,0,male,3,10.81,7.5,6.97E-10
CG8361,chr3R,0,unbiased,0,1.97,2.53,0.004026885
CG8360,chr2L,0,male,12,9.05,6.35,5.38E-26
CG8359,chr3R,0,unbiased,10,8.28,7.9,0.125335495
CG8357,chr2R,0,female,7,2.01,7.87,1.19E-22
CG8355,chr2R,0,unbiased,0,1.87,2.47,0.002285548
CG8367,chr2R,0,female,12,4.09,8.08,2.19E-22
CG8368,chr3L,0,male,11,11.56,8.55,1.50E-12
CG8384,chr3R,0,female,12,4.65,6.72,1.87E-14
CG8383,chr3R,0,female,11,4.48,8.46,2.54E-23
CG8380,chr2R,0,unbiased,3,1.22,1.4,0.261349611
CG8379,chr3R,0,male,12,8.92,8.36,6.57E-05
CG8378,chr2R,0,male,12,8.58,7.32,7.86E-09
CG8376,chr2R,0,male,6,3.76,1.74,1.91E-14
CG8374,chr3R,0,female,12,6.67,9.9,9.97E-25
CG8372,chr2L,0,unbiased,12,8.65,8.45,0.12181939
CG8370,chr2R,0,female,12,5.62,8.89,9.69E-22
CG8369,chr3R,0,male,11,8.17,4.32,3.37E-15
CG8353,chr2L,0,male,9,5.53,2.98,1.18E-11
CG8553,chr2R,0,female,12,8.01,10.94,1.06E-21
CG8776,chr2R,0,male,10,8.15,4.33,1.84E-21
CG8756,chr3L,0,unbiased,0,3.31,2.44,1.25E-05
CG8749,chr2L,0,female,12,7.26,9.35,2.73E-17
CG8746,chr2R,0,male,2,10.73,2.4,1.66E-20
CG8745,chr3L,0,unbiased,9,2.55,2.78,0.220425319
CG8743,chr3L,0,NA,NA,NA,NA,NA
CG8742,chr3L,0,unbiased,0,1.33,2.28,3.36E-09
CG8740,chr2R,0,unbiased,6,4.75,3.25,9.58E-09
CG8739,chr2R,0,unbiased,12,7.25,7.49,0.141251687
CG8738,chr2R,0,unbiased,4,1.96,2.1,0.585099542
CG8736,chr2R,0,unbiased,0,2.12,2.4,0.035753079
CG8757,chr3L,0,unbiased,0,2.19,2.33,0.448342022
CG8759,chr2R,0,female,12,10.97,13.31,6.75E-30
CG8774,chr3R,0,unbiased,4,2.16,2.33,0.670087754
CG8773,chr3R,0,unbiased,4,1.76,2.13,0.128336951
CG8772,chr2R,0,female,10,7.82,9.15,3.42E-11
CG8771,chr2R,0,female,11,3.51,7.9,1.17E-27
CG8770,chr3L,0,unbiased,3,2.54,2.69,0.488499248
CG8768,chr2R,0,male,8,4.87,3.75,0.029723065
CG8767,chr2R,0,female,2,2.07,8.78,3.91E-33
CG8766,chr2R,0,male,11,9.81,8.48,0.001897839
CG8765,chr3L,0,female,10,5.22,6.32,2.49E-10
CG8764,chr2R,0,male,12,10.89,10.05,4.42E-11
CG8735,chr2R,0,male,12,9.3,8.3,1.61E-11
CG8734,chr2R,0,female,7,2.69,6.19,6.70E-18
CG8733,chr3L,0,male,6,8.97,5.67,7.73E-11
CG8713,chr2R,0,unbiased,2,3.15,3.21,0.770894999
CG8712,chr2R,0,male,9,10.85,7.36,5.00E-10
CG8711,chr2R,0,female,12,7.6,9.65,9.08E-19
CG8710,chr2R,0,male,11,8.42,6.89,1.67E-06
CG8709,chr2R,0,male,12,7.85,4.08,4.73E-22
CG8708,chr2R,0,unbiased,4,2.32,1.67,0.048293877
CG8707,chr2R,0,female,12,7.35,9.14,3.47E-17
CG8705,chr2R,0,female,12,7.54,10.76,4.19E-23
CG8704,chr2R,0,unbiased,0,1.62,2.22,0.000327603
CG8701,chr2R,0,male,3,13.85,2.26,1.18E-25
CG8714,chr2R,0,female,10,3.49,10.68,3.23E-32
CG8715,chr2R,0,female,12,5.65,9.96,1.28E-29
CG8732,chr2R,0,female,12,5.06,7.99,6.71E-21
CG8730,chr2R,0,female,12,2.12,6.88,5.70E-25
CG8729,chr2R,0,male,12,8.09,7,1.86E-07
CG8728,chr2R,0,male,12,11.26,9.3,3.72E-18
CG8727,chr3L,0,female,12,4.9,9.32,5.81E-26
CG8726,chr2R,0,female,12,5.61,7.13,9.99E-13
CG8725,chr2R,0,female,12,8.75,9.73,1.42E-10
CG8722,chr2R,0,female,12,8.39,9,8.27E-05
CG8721,chr2R,0,unbiased,5,1.86,1.91,0.831681201
CG8717,chr2R,0,female,12,5.1,7.2,8.87E-17
CG8696,chr2R,0,unbiased,3,2.59,1.98,0.251520025
CG8777,chr2R,0,female,12,3.87,6.51,2.39E-15
CG8844,chr2L,0,unbiased,12,9.9,10.04,0.17126657
CG8825,chr2L,0,NA,NA,NA,NA,NA
CG8824,chr2R,0,female,12,5.24,8.49,3.79E-22
CG8823,chr3R,0,unbiased,1,1.99,2.1,0.653353179
CG8822,chr2L,0,male,1,7.29,1.94,1.20E-29
CG8819,chr2R,0,unbiased,10,3.2,3.11,0.720032575
CG8818,chr2R,0,male,12,8.13,7.8,0.016821249
CG8817,chr2L,0,male,3,4.35,2.87,2.13E-13
CG8816,chr2R,0,female,12,5.59,8.34,1.39E-17
CG8815,chr2R,0,female,12,4.02,8.06,6.07E-26
CG8814,chr2L,0,female,12,4.64,8.82,1.28E-30
CG8827,chr2L,0,male,12,8.97,4.12,2.80E-23
CG8828,chr2R,0,female,3,3.28,7.86,1.23E-29
CG8843,chr2L,0,female,12,4.85,5.37,0.007750894
CG8841,chr2R,0,female,12,5.78,9.52,3.30E-26
CG8840,chr2L,0,male,3,11.13,2.2,2.76E-21
CG8839,chr2R,0,male,12,8.3,7.76,0.000343481
CG8837,chr2L,0,male,5,4.52,2.05,1.21E-17
CG8836,chr2R,0,unbiased,0,1.59,1.81,0.153731279
CG8834,chr2R,0,unbiased,2,2.13,2.53,0.01182959
CG8833,chr3L,0,female,12,4.3,5.98,4.48E-12
CG8831,chr2R,0,male,4,9.58,8.74,8.95E-05
CG8830,chr2R,0,male,12,10.19,7.45,3.49E-15
CG8813,chr2L,0,male,3,12.53,1.91,2.60E-21
CG8811,chr2R,0,female,10,4.81,9.99,2.24E-22
CG8809,chr2R,0,female,6,4.17,5.06,0.000184597
CG8789,chr3L,0,female,12,2.95,7.09,1.66E-19
CG8788,chr2R,0,female,12,7.02,9.57,1.15E-16
CG8787,chr2R,0,female,12,3.91,9.1,1.30E-25
CG8785,chr2R,0,unbiased,6,2.57,2.74,0.626298882
CG8784,chr3R,0,unbiased,0,2.09,2.3,0.176938912
CG8783,chr3L,0,female,11,6.34,8.25,8.07E-13
CG8782,chr3L,0,unbiased,6,5.3,6.92,1.31E-09
CG8781,chr2R,0,female,12,8.16,10.71,4.12E-24
CG8780,chr3L,0,unbiased,3,2.59,1.97,0.005238066
CG8779,chr3L,0,male,8,3.85,2.95,0.000295134
CG8790,chr3R,0,female,12,7.78,8.28,0.000501322
CG8791,chr2R,0,female,6,3.01,4.93,2.44E-06
CG8808,chr2R,0,female,11,3.17,8.55,4.43E-32
CG8807,chr3L,0,unbiased,2,1.51,1.63,0.513407303
CG8806,chr2R,0,unbiased,12,9.84,9.75,0.303303581
CG8805,chr2R,0,female,8,3.11,8.57,1.56E-21
CG8804,chr2R,0,female,11,4.24,6.58,5.88E-16
CG8801,chr2R,0,female,12,7.42,11.39,5.92E-31
CG8800,chr2R,0,male,1,6.35,2.2,4.26E-28
CG8798,chr3L,0,female,9,3.22,4.94,2.06E-10
CG8795,chr3R,0,unbiased,2,1.92,2.03,0.58068775
CG8793,chr3L,0,male,12,6.59,6.16,0.007837481
CG8778,chr2R,0,female,12,6.25,9.15,6.90E-18
CG8615,chr3L,0,female,12,10.62,13.53,2.65E-35
CG8600,chr3L,0,female,12,7.78,11.2,2.77E-23
CG8599,chr3R,0,female,6,1.95,4.49,1.02E-15
CG8598,chr3L,0,female,10,6.29,9.01,9.47E-15
CG8597,chr3L,0,female,12,8.48,10.93,3.44E-24
CG8596,chr3L,0,male,11,6.64,3.64,1.78E-19
CG8595,chr2R,0,male,1,3.86,2.24,5.32E-15
CG8594,chr2R,0,female,12,5.99,8.13,1.11E-15
CG8593,chr3L,0,female,12,5.17,6.55,5.26E-08
CG8592,chr2R,0,male,3,6.95,6.2,0.004139817
CG8591,chr3L,0,female,10,2.9,6.51,2.34E-31
CG8601,chr3L,0,female,9,6.07,6.5,0.046293199
CG8602,chr3L,0,female,12,8.23,10.53,6.88E-23
CG8614,chr3L,0,male,11,9.25,7.82,2.62E-05
CG8613,chr2R,0,unbiased,12,7.03,7,0.851370867
CG8612,chr3L,0,female,11,7,8.46,1.10E-12
CG8611,chrX,0,female,9,2.13,7.14,1.07E-21
CG8610,chr3L,0,male,11,8.13,7.03,6.49E-06
CG8609,chr3L,0,female,8,4.04,5.74,6.03E-13
CG8607,chr3L,0,female,7,2.2,6.94,6.39E-25
CG8606,chr3L,0,female,3,3.01,6.88,4.33E-22
CG8605,chr3L,0,female,12,5.86,6.21,0.027833137
CG8604,chr2R,0,female,12,6.04,8.08,1.90E-17
CG8590,chrX,0,unbiased,11,9.71,9.71,0.993154729
CG8589,chr2R,0,female,4,3.15,8.89,3.81E-31
CG8587,chr2R,0,unbiased,4,1.66,2.05,0.001797725
CG8568,chrX,0,unbiased,0,1.46,1.39,0.713555554
CG8567,chr3L,0,female,12,4.58,6.04,1.55E-10
CG8566,chr2R,0,female,12,3.33,4.9,1.90E-08
CG8565,chrX,0,male,3,12.13,2.48,1.97E-21
CG8564,chr3L,0,male,4,12.16,2.32,3.41E-23
CG8563,chr3L,0,unbiased,0,1.85,2.21,0.021644596
CG8562,chr3L,0,unbiased,2,2.13,2.39,0.524995517
CG8561,chr2R,0,male,4,3.59,2.06,9.24E-13
CG8560,chr3L,0,male,4,9.89,2.14,9.40E-18
CG8557,chrX,0,female,11,5.26,7.75,2.89E-14
CG8569,chr2R,0,female,10,4.1,5.84,1.98E-13
CG8571,chr3L,0,female,12,6.12,10.05,1.37E-25
CG8586,chr2R,0,unbiased,7,2.49,2.44,0.835292156
CG8585,chr2R,0,unbiased,9,4.98,4.54,0.098033976
CG8584,chr2R,0,male,2,10.04,1.78,3.28E-23
CG8583,chr3L,0,female,12,7.93,9,8.86E-14
CG8582,chr3L,0,female,12,9.1,10.58,4.52E-19
CG8581,chr2R,0,female,11,5.46,7,3.11E-08
CG8580,chr3L,0,female,12,10.6,11.71,5.53E-14
CG8578,chrX,0,female,12,5.66,8.99,4.38E-23
CG8577,chr2R,0,NA,NA,NA,NA,NA
CG8573,chr3R,0,female,12,6.37,8.67,8.85E-16
CG8556,chr3L,0,female,11,3.77,6.89,4.45E-11
CG8616,chr3L,0,female,12,4.8,6.34,4.64E-10
CG8695,chr2R,0,unbiased,3,1.69,2.1,0.306324003
CG8671,chr2L,0,female,10,3.4,4.37,4.01E-08
CG8669,chr2L,0,female,12,10.05,10.63,1.94E-08
CG8668,chr2L,0,female,11,7.06,8.87,1.30E-14
CG8667,chr2L,0,unbiased,0,1.94,2.01,0.602175658
CG8666,chr2L,0,female,10,1.78,2.39,0.014887037
CG8665,chr2L,0,unbiased,3,3.13,2.93,0.613109996
CG8663,chr2L,0,unbiased,7,3.65,3.73,0.73413483
CG8661,chrX,0,unbiased,2,1.19,1.66,0.185582054
CG8660,chr3L,0,female,12,5.2,8.03,9.86E-18
CG8657,chr2R,0,male,12,8.34,7.6,1.87E-09
CG8674,chr2L,0,female,12,7.62,8.82,2.44E-12
CG8675,chrX,0,female,11,3.06,8.56,1.92E-23
CG8694,chr2R,0,unbiased,4,1.58,1.7,0.77504219
CG8693,chr2R,0,unbiased,2,2.08,2.31,0.547254733
CG8690,chr2R,0,unbiased,2,1.76,1.82,0.837090764
CG8683,chr2L,0,female,12,7.49,7.98,0.003181275
CG8681,chr2L,0,male,5,4.26,1.97,8.97E-09
CG8680,chr2L,0,male,12,12.44,10.28,9.91E-28
CG8679,chr2L,0,female,5,2.05,6.39,8.54E-17
CG8678,chr2L,0,female,11,5.28,5.82,0.04577708
CG8677,chr2L,0,male,1,2.44,1.8,1.11E-05
CG8676,chr2L,0,female,12,4.17,5.54,6.64E-10
CG8654,chr2R,0,male,9,9.98,1.68,4.97E-33
CG8651,chr3R,0,female,12,3.28,7.98,4.17E-22
CG8649,chrX,0,female,12,7.68,8.17,0.006010921
CG8635,chr2R,0,female,12,8.62,9.7,3.51E-12
CG8634,chr3L,0,unbiased,0,2.31,1.97,0.034463645
CG8632,chr2R,0,female,11,7.32,8.49,3.34E-10
CG8631,chr3L,0,female,12,3.65,7.04,8.01E-23
CG8630,chr3R,0,unbiased,5,2.63,2,0.01298117
CG8629,chr3L,0,unbiased,0,1.75,2,0.354832183
CG8627,chr3L,0,male,11,8.98,2.91,1.06E-24
CG8625,chr2R,0,unbiased,12,9.86,9.93,0.788863953
CG8624,chr3L,0,unbiased,5,2.23,2.49,0.241837159
CG8620,chr3L,0,unbiased,3,1.9,1.83,0.813286237
CG8636,chrX,0,female,12,8.26,11.56,1.20E-29
CG8637,chr3L,0,female,12,6.75,10.16,2.88E-23
CG8648,chr2R,0,female,5,5.35,8.54,6.03E-20
CG8647,chr3L,0,unbiased,0,1.82,2.53,2.07E-06
CG8646,chr2R,0,unbiased,0,1.99,2.36,0.032689254
CG8644,chr3R,0,unbiased,0,1.53,2.21,6.74E-07
CG8643,chr2R,0,unbiased,7,2.21,2.77,0.0640735
CG8642,chr2R,0,unbiased,0,1.99,2.41,0.019940887
